times,real number of connections,estimated number of connections
1542365639.285565,1,1
1542365639.512084,1,1
1542365639.513192,1,1
1542365640.042048,1,1
1542365640.042223,1,1
1542365642.752082,1,1
1542365642.752843,1,1
1542365643.034778,1,1
1542365643.034933,1,1
1542365643.03494,1,1
1542365643.034946,1,1
1542365643.03495,1,1
1542365643.034954,1,1
1542365643.034958,1,1
1542365643.034968,1,1
1542365643.508535,1,1
1542365643.864996,1,1
1542365643.865129,1,1
1542365643.865189,0,1
1542365645.196504,1,2
1542365645.538214,1,2
1542365645.576609,1,2
1542365645.585162,1,2
1542365645.593448,1,2
1542365645.608053,1,2
1542365645.614551,1,2
1542365645.616373,1,2
1542365645.630523,1,2
1542365645.638864,1,2
1542365645.646964,1,2
1542365645.652354,1,2
1542365645.66969,1,2
1542365645.76587,1,2
1542365645.771501,1,2
1542365645.771836,1,2
1542365645.862532,1,2
1542365645.958215,1,2
1542365646.566311,1,2
1542365646.703649,1,2
1542365646.703937,1,2
1542365646.814139,1,2
1542365647.259622,1,2
1542365647.259705,1,2
1542365647.336478,1,2
1542365647.343439,1,2
1542365647.41272,1,2
1542365647.424649,1,2
1542365647.427345,1,2
1542365647.451833,1,2
1542365647.457596,1,2
1542365647.460574,1,2
1542365647.460854,1,2
1542365647.466002,1,2
1542365647.468655,1,2
1542365647.476843,1,2
1542365647.750064,1,2
1542365647.758121,1,2
1542365647.778237,1,2
1542365647.798659,1,2
1542365647.805336,1,2
1542365647.817937,1,2
1542365647.872233,1,2
1542365647.874653,1,2
1542365647.875893,1,2
1542365648.03794,1,2
1542365648.167085,1,2
1542365648.173905,1,2
1542365648.174908,1,2
1542365648.266643,1,2
1542365648.276389,1,2
1542365648.423778,1,2
1542365648.426512,1,2
1542365648.555149,1,2
1542365648.596414,1,2
1542365648.611431,1,2
1542365648.680469,1,2
1542365648.681358,1,2
1542365648.887891,1,2
1542365648.897113,1,2
1542365648.909476,1,2
1542365648.915529,1,2
1542365648.916349,1,2
1542365648.918689,1,2
1542365648.919925,1,2
1542365648.975375,1,2
1542365648.981089,1,2
1542365648.982133,1,2
1542365648.984502,1,2
1542365648.989951,1,2
1542365648.995503,1,2
1542365648.99817,1,2
1542365649.003718,1,2
1542365649.006397,1,2
1542365649.012113,1,2
1542365649.01448,1,2
1542365649.016123,1,2
1542365649.018829,1,2
1542365649.02203,1,2
1542365649.024938,1,2
1542365649.033615,1,2
1542365649.036309,1,2
1542365649.039588,1,2
1542365649.042305,1,2
1542365649.048306,1,2
1542365649.057713,1,2
1542365649.063295,1,2
1542365649.067211,1,2
1542365649.069876,1,2
1542365649.072212,1,2
1542365649.075458,1,2
1542365649.083489,1,2
1542365649.08665,1,2
1542365649.089373,1,2
1542365649.092047,1,2
1542365649.101793,1,2
1542365649.107016,1,2
1542365649.112783,1,2
1542365649.115469,1,2
1542365649.11813,1,2
1542365649.12344,1,2
1542365649.133419,1,2
1542365649.148874,1,2
1542365649.163379,1,2
1542365649.16822,1,2
1542365649.175612,1,2
1542365649.265119,1,2
1542365649.272066,1,2
1542365649.29765,1,2
1542365649.365787,1,2
1542365649.411387,1,2
1542365649.423016,1,2
1542365649.497569,1,2
1542365649.556594,1,2
1542365649.561509,1,2
1542365649.721345,1,2
1542365649.937355,1,2
1542365650.577155,1,2
1542365650.781296,1,2
1542365650.889306,1,2
1542365652.599998,1,2
1542365652.60006,1,2
1542365652.600105,1,2
1542365652.720147,1,2
1542365654.335859,1,2
1542365654.728616,0,2
1542365655.028847,1,3
1542365655.028969,1,3
1542365655.229828,1,3
1542365655.349322,1,3
1542365655.349795,1,3
1542365655.411991,1,3
1542365655.412718,1,3
1542365655.533181,1,3
1542365655.597151,1,3
1542365655.614532,1,3
1542365655.646262,1,3
1542365655.648789,1,3
1542365655.690643,1,3
1542365655.720713,1,3
1542365655.753764,1,3
1542365655.753905,1,3
1542365655.87618,1,3
1542365655.876228,1,3
1542365655.876242,1,3
1542365655.876252,1,3
1542365655.876265,1,3
1542365655.876276,1,3
1542365656.005139,1,3
1542365656.005208,1,3
1542365656.112666,1,3
1542365656.413023,1,3
1542365656.413129,1,3
1542365656.440201,1,3
1542365656.817362,1,3
1542365656.987492,1,3
1542365657.214933,1,3
1542365657.214982,1,3
1542365657.222168,1,3
1542365657.27769,1,3
1542365657.28404,1,3
1542365657.304368,1,3
1542365657.304443,1,3
1542365657.39635,1,3
1542365657.420496,1,3
1542365657.430075,1,3
1542365657.437652,1,3
1542365657.445382,1,3
1542365657.445632,1,3
1542365657.615398,1,3
1542365657.615446,1,3
1542365657.61546,1,3
1542365657.615491,1,3
1542365657.851311,1,3
1542365657.851386,1,3
1542365658.029691,1,3
1542365658.166616,1,3
1542365659.01198,1,3
1542365659.844698,1,3
1542365660.820365,1,3
1542365660.821108,1,3
1542365660.886839,1,3
1542365660.910726,1,3
1542365660.962473,1,3
1542365661.023136,1,3
1542365661.088092,1,3
1542365661.509761,1,3
1542365661.592683,1,3
1542365661.733115,1,3
1542365661.771879,1,3
1542365661.834945,1,3
1542365661.941608,1,3
1542365662.210652,1,3
1542365662.231025,1,3
1542365663.154332,1,3
1542365663.387739,1,3
1542365663.463142,1,3
1542365664.611917,1,3
1542365686.333778,1,3
1542365687.467619,1,3
1542365690.941955,1,2
1542365693.996865,0,2
1542365693.997401,1,3
1542365694.09508,1,3
1542365694.095386,1,3
1542365694.185056,1,3
1542365694.186131,1,3
1542365694.187109,1,3
1542365694.187322,1,3
1542365694.260493,1,3
1542365694.262059,1,3
1542365694.262154,1,3
1542365694.267445,1,3
1542365694.272921,1,3
1542365694.275516,1,3
1542365694.281112,1,3
1542365694.284,1,3
1542365694.289488,1,3
1542365694.292111,1,3
1542365694.294751,1,3
1542365694.37885,1,3
1542365694.381608,1,3
1542365694.384199,1,3
1542365694.386812,1,3
1542365694.395566,1,3
1542365694.398145,1,3
1542365694.404085,1,3
1542365694.407004,1,3
1542365694.424817,1,3
1542365694.469323,1,3
1542365694.480322,1,3
1542365694.499731,1,3
1542365694.528286,1,3
1542365694.533705,1,3
1542365694.539103,1,3
1542365694.546165,1,3
1542365694.553644,1,3
1542365694.562252,1,3
1542365694.567625,1,3
1542365694.583261,1,3
1542365694.585562,1,3
1542365694.588486,1,3
1542365694.611399,1,3
1542365694.61421,1,3
1542365694.616839,1,3
1542365694.632014,1,3
1542365694.637225,1,3
1542365694.639847,1,3
1542365694.647986,1,3
1542365694.656862,1,3
1542365694.662028,1,3
1542365694.674201,1,3
1542365694.679434,1,3
1542365694.684721,1,3
1542365694.698082,1,3
1542365694.706038,1,3
